airfoil,camber,camber_pos,thickness,t_over_c,Re,CL_max,alpha_CL_max,CD_min,LD_max,CL_at_LD_max,alpha_at_LD_max,CM_at_zero_lift
naca0010,0,0,10,0.1,1700000.0,1.03046891272187,9.0,0.0045704720985608556,86.90922799543118,0.8608373629154965,7.0,2.4368103088916907e-16
naca0010,0,0,10,0.1,3000000.0,1.042424161737298,9.0,0.004732156255661643,98.94597725588832,0.8537071998228738,7.0,2.2080759578257587e-16
naca0010,0,0,10,0.1,5000000.0,1.0477517300312242,9.0,0.004840662371243419,109.98867845627395,0.8520554631161648,7.0,1.252678361760672e-16
naca0010,0,0,10,0.1,10000000.0,1.054137465062911,9.0,0.0049602311060379855,123.76015164009219,0.8599468455656227,7.0,1.3969848372259634e-16
naca0010,0,0,10,0.1,17000000.0,1.0600704879467109,9.0,0.004985537594692316,132.5524413909679,0.8673454855829517,7.0,-7.139669706654208e-18
naca0012,0,0,12,0.12,1700000.0,1.0800744251269827,9.5,0.005189143508409448,89.70288486693622,0.918077547629952,7.5,6.063400649625184e-17
naca0012,0,0,12,0.12,3000000.0,1.0839027762232731,9.5,0.00517402416616085,101.66033267689471,0.9101445869237493,7.5,9.114260746538452e-17
naca0012,0,0,12,0.12,5000000.0,1.0864489489066727,9.5,0.005133647322202285,112.50266627978088,0.8546670893501038,7.0,4.889751797909625e-17
naca0012,0,0,12,0.12,10000000.0,1.0925098306004972,9.5,0.0051321552012284595,125.21179615283353,0.9268814349229043,7.5,3.4017490930183125e-16
naca0012,0,0,12,0.12,17000000.0,1.0991089451556002,9.5,0.00512808911214522,132.48571591864473,0.9332003428296965,7.5,2.740863092043355e-16
naca0014,0,0,14,0.14,1700000.0,1.1474053942077131,10.0,0.005762950370132487,91.83531108718411,0.9687267033497946,8.0,3.056799917536037e-16
naca0014,0,0,14,0.14,3000000.0,1.1437432487321944,10.0,0.0055639277985052695,104.02228223497137,0.905292321311295,7.5,3.4892336416014746e-16
naca0014,0,0,14,0.14,5000000.0,1.144075553093903,10.0,0.005426369609326169,114.56962405125523,0.9180805119398469,7.5,8.210395756914052e-17
naca0014,0,0,14,0.14,10000000.0,1.1474171932120825,10.0,0.0053182293336186855,126.5986851898396,0.9315310621987082,7.5,1.4565526798490824e-16
naca0014,0,0,14,0.14,17000000.0,1.149279162048143,10.0,0.005280281524127699,133.49200806810302,0.9377474719808488,7.5,2.729041088092757e-16
naca0015,0,0,15,0.15,1700000.0,1.178324353831356,10.5,0.0060211139913063615,92.945528160647,0.9610416069725815,8.0,2.4259023609363162e-17
naca0015,0,0,15,0.15,3000000.0,1.1731339377032268,10.5,0.005746473305874845,105.28130950887576,0.9637928933378562,8.0,2.5730901534310397e-16
naca0015,0,0,15,0.15,5000000.0,1.1724784372438857,10.5,0.005571570534416617,115.6988993452529,0.9783086763104929,8.0,2.2128566340429145e-16
naca0015,0,0,15,0.15,10000000.0,1.1798080858514586,10.0,0.0054159961348839054,127.56831276056973,0.9928592573656305,8.0,2.186630077184102e-16
naca0015,0,0,15,0.15,17000000.0,1.1837522832552059,10.0,0.0053603482522428525,134.5864624943045,0.999821494011356,8.0,3.1614606815213454e-16
naca0016,0,0,16,0.16,1700000.0,1.2125503256893426,10.5,0.006266253196285129,93.69461080559697,0.9537156969181971,8.0,2.0158531506178385e-16
naca0016,0,0,16,0.16,3000000.0,1.2079796594464798,10.5,0.005923563816888177,105.83314235045358,0.963888610299241,8.0,1.3166128203950466e-16
naca0016,0,0,16,0.16,5000000.0,1.2103198447936792,10.5,0.005715366062183675,115.97994111671771,1.037330002384158,8.5,1.7233393531657093e-16
naca0016,0,0,16,0.16,10000000.0,1.2163058195678325,10.5,0.005516183334166345,127.6640091977756,0.9931574026278965,8.0,3.894454203567932e-16
naca0016,0,0,16,0.16,17000000.0,1.2164592368861942,10.5,0.005442680703479033,134.88913268153274,1.0010384435351427,8.0,-7.300068752616462e-17
naca0017,0,0,17,0.17,1700000.0,1.2445066066829473,11.0,0.006499625208562134,94.55750719412612,1.0076439287989656,8.5,3.799106448826217e-16
naca0017,0,0,17,0.17,3000000.0,1.2419452369367594,11.0,0.006096630675296032,106.75346335931322,1.0205140037724494,8.5,9.642622171776804e-17
naca0017,0,0,17,0.17,5000000.0,1.2445536845025023,11.0,0.005857526702259956,116.81569160108155,1.0384226318548275,8.5,3.0193143485933584e-16
naca0017,0,0,17,0.17,10000000.0,1.2475511817937328,11.0,0.0056182754400055735,128.54415687471396,1.0532839060956531,8.5,2.668898631752899e-16
naca0017,0,0,17,0.17,17000000.0,1.2522533572848458,10.5,0.005526909538244838,135.9189353341099,1.0621114173834914,8.5,3.164481209624176e-16
naca0018,0,0,18,0.18,1700000.0,1.2699651562088148,11.5,0.006720502260097683,95.40156322702182,1.0005066108565837,8.5,1.3444122476932847e-16
naca0018,0,0,18,0.18,3000000.0,1.2704914397351117,11.5,0.00626668906981453,107.15829019986622,1.0203642263394406,8.5,1.9411470589463643e-16
naca0018,0,0,18,0.18,5000000.0,1.273957635229126,11.5,0.005998031950869772,116.91129187271376,1.0945837440656523,9.0,3.1468246094205875e-16
naca0018,0,0,18,0.18,10000000.0,1.286734844485781,11.0,0.00572187424929006,128.60221492035058,1.0524167954494417,8.5,2.802120514788786e-16
naca0018,0,0,18,0.18,17000000.0,1.2905911823060976,11.0,0.005612717073026108,136.21925213533842,1.062352212163457,8.5,9.707909229051876e-17
naca1210,1,2,10,0.1,1700000.0,1.1931395780346619,9.5,0.0047154304616175225,101.00126979411034,0.7979037690081999,5.5,-0.018991366567718767
naca1210,1,2,10,0.1,3000000.0,1.2100064022980905,9.5,0.004801396015283602,112.05422715043947,0.9723109463636886,7.0,-0.018673941248653146
naca1210,1,2,10,0.1,5000000.0,1.2200439404966101,9.5,0.004849365675295858,123.01538604315368,0.9694337685655022,7.0,-0.01873721914469478
naca1210,1,2,10,0.1,10000000.0,1.226617260936382,9.5,0.004885695349798502,137.7830483724251,0.9714268996964611,7.0,-0.018972164377833806
naca1210,1,2,10,0.1,17000000.0,1.229248940507112,9.5,0.004886312664411461,148.34036088511013,1.0378566478526163,7.5,-0.018946866954823505
